name, ra1, ra2, ra3, dec1, dec2, dec3, type, mag1, mag2, mag3, mag4, mag5, mag6, mag7, mag8, mag9
Hip051025, 10, 25,  27.0900, -64,   6, 58.9000,  B8V      , 8.80000, 8.74000, 8.61000, 8.57000, 8.58800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip051362, 10, 29,  28.7300,  -2,  44, 20.6000,  B9.5V    , 5.19000, 5.22000, 5.22300, 5.25700, 5.23900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip051514, 10, 31,  15.1300, -68,  58, 8.10000,  B7V      , 7.94000, 7.94000, 7.93700, 7.96600, 7.98200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip051927, 10, 36,  25.3900, -26,  43, 58.0000,  B6V      , 7.83000, 7.93000, 8.01300, 8.08800, 8.14800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip051984, 10, 37,  16.1200, -53,  51, 19.0000,  B3V      , 6.43000, 6.58000, 6.71900, 6.79600, 6.80800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip052158, 10, 39,  21.4200,  22,  11, 48.4000,  B9       , 8.54000, 8.46000, 8.31800, 8.36600, 8.29800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip052160, 10, 39,  22.8500, -64,   6, 42.5000,  B8V      , 6.33000, 6.38000, 6.43100, 6.50900, 6.46800, -99.9990, -99.9990,  -99.9990, -99.9990 *iC Star_in_Cluster
Hip052230, 10, 40,  14.9500, -47,   9, 37.0000,  B9V      , 6.99000, 7.04000, 7.04300, 7.09800, 7.12100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip052320, 10, 41,  26.1400, -56,   4, 7.40000,  B9.5V    , 6.81000, 6.79000, 6.77300, 6.85000, 6.83200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip052453, 10, 43,  22.2500, -32,   8, 13.9000,  B9.5V    , 7.16000, 7.14000, 7.06900, 7.14200, 7.07500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip052688, 10, 46,  24.8500, -13,  27, 35.5000,  B9.5V    , 7.26000, 7.22000, 7.14300, 7.19100, 7.16500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip052916, 10, 49,  21.1100, -39,  10, 13.3000,  B9.5V    , 7.17000, 7.12000, 7.04100, 7.04400, 6.99900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip053007, 10, 50,  40.0400, -61,  16, 10.4000,  B4III    , 6.84000, 6.84000, 6.75600, 6.77300, 6.82700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip053024, 10, 50,  56.0000, -77,   7, 28.6000,  B4V      , 8.00000, 7.50000, 6.67500, 6.54800, 6.41000, -99.9990, -99.9990,  -99.9990, -99.9990 *iA Star_in_Association
Hip053057, 10, 51,  21.0300, -66,  48, 53.6000,  B4V      , 7.45000, 7.37000, 7.15300, 7.14600, 7.10200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip053074, 10, 51,  30.3000, -75,  52, 58.0000,  B8III    , 6.68000, 6.58000, 6.32200, 6.31000, 6.24800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip053146, 10, 52,  18.4300, -51,  48, 1.10000,  B9V      , 7.52000, 7.56000, 7.58700, 7.62400, 7.67900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip053762, 10, 59,  59.4300, -43,  48, 25.7000,  B8.5V    , 5.81000, 5.85000, 5.91600, 6.03400, 5.96100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054006, 11,  2,  54.8200, -72,  14, 32.0000,  B5V      , 6.78000, 6.74000, 6.60700, 6.64800, 6.59000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054082, 11,  4,  0.25000, -57,  57, 19.2000,  B2III    , 6.16000, 6.33000, 6.49400, 6.62600, 6.62400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054185, 11,  5,  4.14000, -49,  23, 32.4000,  B9.5V    , 6.11000, 6.11000, 6.08100, 6.12400, 6.06900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054505, 11,  9,  5.24000, -20,  30, 48.8000,  B9V      , 7.74000, 7.73000, 7.67700, 7.76300, 7.72100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054542, 11,  9,  41.0500, -54,  42, 53.3000,  B8V      , 7.07000, 7.11000, 7.19000, 7.28500, 7.23000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054630, 11, 10,  54.8200, -58,  27, 19.0000,  B7III    , 6.88000, 6.95000, 7.02400, 7.09500, 7.08900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054684, 11, 11,  40.4100, -60,  18, 38.9000,  B8V      , 6.68000, 6.68000, 6.61900, 6.66900, 6.63600, -99.9990, -99.9990,  -99.9990, -99.9990 *iC Star_in_Cluster
Hip054829, 11, 13,  30.7900, -59,  37, 9.50000,  B1.5V    , 5.74000, 5.83000, 5.89300, 5.95400, 5.93100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip054970, 11, 15,  21.5300, -29,  30, 57.8000,  B5III    , 8.77000, 8.85000, 9.02500, 9.10600, 9.15500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip055011, 11, 15,  48.3300,  -2,  17, 57.5000,  B9       , 8.88000, 8.99000, 9.04300, 9.16300, 9.15300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip055051, 11, 16,  11.6900,  -3,  28, 19.3000,  B1V      , 7.40000, 7.63000, 7.87800, 8.04300, 8.08000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip055208, 11, 18,  19.8400, -48,  47, 14.8000,  B9V      , 7.31000, 7.25000, 7.15700, 7.22300, 7.15300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip055480, 11, 21,  45.9800, -22,   6, 18.9000,  B8V      , 7.34000, 7.38000, 7.41700, 7.48500, 7.51500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip055667, 11, 24,  22.0600, -42,  40, 8.80000,  B2IV-V   , 6.13000, 6.31000, 6.54900, 6.64400, 6.65000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip055938, 11, 27,  51.0900, -58,  40, 49.8000,  B3V      , 7.63000, 7.74000, 7.82500, 7.89800, 7.91400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip056086, 11, 29,  47.6300, -67,   4, 39.2000,  B8V      , 8.35000, 8.32000, 8.16700, 8.19400, 8.16400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip056232, 11, 31,  38.9300, -65,  24, 10.2000,  B9V      , 8.52000, 8.38000, 8.08200, 8.04900, 8.01500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip056922, 11, 40,  12.8200, -34,  44, 40.8000,  B9V      , 4.70000, 4.75000, -99.999, -99.999, 4.79100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip057374, 11, 45,  44.7100, -76,  51, 36.6000,  B9.5IV   , 7.89000, 7.79000, 7.66300, 7.69100, 7.64900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip057451, 11, 46,  36.4200, -64,  45, 57.5000,  B8V      , 6.89000, 6.81000, 6.58400, 6.61800, 6.54300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip057963, 11, 53,  20.3000, -65,  24, 15.9000,  B4IV     , 7.34000, 7.31000, 7.18300, 7.26900, 7.19200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip057996, 11, 53,  46.6800, -62,  11, 47.7000,  B7V      , 8.10000, 8.06000, 7.96900, 8.01000, 7.95100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip058265, 11, 56,  56.4400, -58,  19, 4.90000,  B9V      , 8.88000, 8.82000, 8.61200, 8.64400, 8.60200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip058452, 11, 59,  10.7100, -45,  49, 55.9000,  B8/B9V   , 6.36000, 6.45000, 6.44700, 6.48800, 6.52900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip058720, 12,  2,  37.7600, -69,  11, 32.2000,  B9V      , 5.89000, 5.95000, 6.01000, 6.08000, 6.08500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip058859, 12,  4,  16.7400, -51,  28, 21.0000,  B9V      , 6.48000, 6.50000, 6.53600, 6.58900, 6.55100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip059218, 12,  8,  43.0600, -44,  55, 33.6000,  B8/B9V   , 8.07000, 8.10000, 8.09100, 8.15300, 8.15000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip059254, 12,  9,  16.6700, -66,   6, 28.1000,  B8V      , 7.75000, 7.68000, 7.48900, 7.50400, 7.46200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip059503, 12, 12,  10.9200, -58,  49, 6.00000,  B9.5V    , 8.53000, 8.45000, 8.26100, 8.24300, 8.21900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip059607, 12, 13,  25.0600, -38,  55, 45.0000,  B4IV     , 5.77000, 5.91000, 6.03100, 6.08600, 6.09500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip059657, 12, 14,  5.46000, -51,  18, 51.7000,  B9V      , 8.49000, 8.46000, 8.41400, 8.46200, 8.46600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip059830, 12, 16,  7.42000, -64,  27, 15.4000,  B3V      , 7.62000, 7.62000, 7.59100, 7.64700, 7.64000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060041, 12, 18,  46.7500, -88,  24, 53.8000,  B9V      , 6.63000, 6.68000, 6.64300, 6.73900, 6.69600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060099, 12, 19,  29.9900, -53,   1, 30.8000,  B8V      , 8.59000, 8.62000, 8.60100, 8.63000, 8.65800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060183, 12, 20,  28.2800, -65,  50, 33.5000,  B9V      , 6.20000, 6.22000, 6.25300, 6.27700, 6.27000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060379, 12, 22,  49.4700, -57,  40, 34.0000,  B9V      , 5.38000, 5.46000, 5.59100, 5.59500, 5.63600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060517, 12, 24,  21.4300, -47,  22, 22.6000,  B9V      , 6.61000, 6.64000, 6.65500, 6.70800, 6.67700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060639, 12, 25,  39.3200, -57,  20, 3.40000,  B9.5V    , 8.17000, 8.03000, 7.76300, 7.72600, 7.65800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060735, 12, 26,  51.6900, -32,  49, 48.2000,  B9V      , 5.56000, 5.53000, 5.47800, 5.47600, 5.44400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060771, 12, 27,  24.8500, -63,  47, 20.3000,  B8IV     , 6.02000, 5.96000, 5.76000, -99.999, 5.70200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060855, 12, 28,  22.4900, -39,   2, 28.1000,  B8V      , 5.45000, 5.50000, 5.51500, 5.57900, 5.54100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip060912, 12, 29,  0.61000, -83,  48, 9.70000,  B8V      , 6.61000, 6.53000, 6.49900, 6.50900, 6.51700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip061066, 12, 30,  56.1100, -75,  24, 2.70000,  B9V      , 7.51000, 7.41000, 7.06400, 7.06500, 6.99700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip061193, 12, 32,  19.7800, -78,  11, 38.8000,  B5V      , 7.78000, 7.71000, 7.55900, 7.58300, 7.57300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip061257, 12, 33,  12.2200, -52,   4, 58.1000,  B9V      , 6.55000, 6.55000, 6.55600, 6.61500, 6.61200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip062058, 12, 43,  9.21000, -56,  10, 34.3000,  B7.5V    , 5.99000, 6.04000, 6.11800, 6.14900, 6.17300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip062205, 12, 44,  57.4200, -65,  19, 9.30000,  B9.5V    , 8.48000, 8.07000, 7.53900, 7.45800, 7.32200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip062224, 12, 45,  10.2200, -56,  19, 44.9000,  B8V      , 8.70000, 8.64000, 8.52500, 8.58800, 8.52000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip062448, 12, 47,  53.6700, -24,  51, 6.30000,  B8V      , 6.43000, 6.47000, 6.47800, 6.49700, 6.49300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip062483, 12, 48,  16.4900, -44,  43, 7.50000,  B9V      , 6.88000, 6.88000, 6.82000, 6.88000, 6.81900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip062916, 12, 53,  39.8300, -71,  16, 24.5000,  B9.5/A0V , 7.12000, 7.07000, 6.99900, 6.97000, 6.97200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip063465, 13,  0,  17.1500, -66,  50, 51.9000,  B7V      , 8.51000, 8.55000, 8.44800, 8.52000, 8.50800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip063489, 13,  0,  31.5300, -60,  22, 31.3000,  B4II     , 7.07000, 6.88000, 6.45400, 6.40600, 6.34400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip063541, 13,  1,  15.1100, -44,  45, 6.60000,  B5III    , 7.66000, 7.72000, 7.82300, 7.88900, 7.91600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip063658, 13,  2,  47.5100, -60,  44, 34.4000,  B1III    , 7.79000, 7.52000, 7.08900, 7.01900, 6.95200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip064053, 13,  7,  38.3200, -53,  27, 35.0000,  B8V      , 5.70000, 5.74000, 5.81500, 5.74600, 5.72900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip064722, 13, 15,  57.7300,  21,  22, 54.7000,  B9       , 7.39000, 7.35000, 7.26100, 7.30600, 7.25100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip064734, 13, 16,  3.95000, -50,  53, 47.8000,  B8V      , 8.49000, 8.51000, 8.52300, 8.55300, 8.56200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip064892, 13, 18,  5.13000, -44,   3, 19.2000,  B9V      , 6.80000, 6.80000, 6.80900, 6.87900, 6.83200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip064910, 13, 18,  18.0500, -57,  18, 1.20000,  B9III    , 7.07000, 6.95000, 6.62000, 6.62000, 6.56900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip065021, 13, 19,  43.4600, -67,  21, 51.4000,  B9V      , 7.26000, 7.25000, 7.19900, 7.29100, 7.22300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip065178, 13, 21,  25.9300, -43,  38, 3.40000,  B9V      , 6.67000, 6.66000, 6.68800, 6.69400, 6.68800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip065628, 13, 27,  18.5800, -74,  41, 30.2000,  B9V      , 6.62000, 6.65000, 6.66600, 6.68700, 6.74600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip065688, 13, 28,  4.88000, -33,  16, 33.6000,  B8V      , 8.38000, 8.38000, 8.42400, 8.46700, 8.44600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip065820, 13, 29,  35.9100, -45,  28, 57.7000,  B9V      , 8.63000, 8.65000, 8.65600, 8.69100, 8.68100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip065965, 13, 31,  30.9900, -46,  44, 6.70000,  B9V      , 7.55000, 7.52000, 7.50400, 7.53300, 7.52100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip066050, 13, 32,  30.3400, -69,   9, 49.8000,  B8V      , 8.13000, 7.92000, 7.53300, 7.52800, 7.43100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip066454, 13, 37,  23.5000, -46,  25, 40.2000,  B8V      , 5.91000, 6.00000, 6.08500, 6.17900, 6.13600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip066524, 13, 38,  9.07000, -50,  20, 59.6000,  B5II     , 6.64000, 6.70000, -99.999, -99.999, -99.999, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip066577, 13, 38,  50.3700, -33,   6, 40.5000,  B9.5V    , 7.00000, 7.02000, 7.00300, 7.07300, 7.04400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip066957, 13, 43,  25.3000, -38,  15, 23.5000,  B5V      , 8.92000, 8.99000, 9.11200, 9.17500, 9.17700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067206, 13, 46,  18.0000, -62,  27, 5.70000,  B1Ib/II  , 6.58000, 6.35000, 6.33600, 6.30700, 6.24800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067302, 13, 47,  34.2600, -71,  13, 52.0000,  B9V      , 6.83000, 6.85000, 6.83000, 6.88900, 6.88600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067663, 13, 51,  47.2300, -46,  53, 55.1000,  B2Vp     , 5.77000, 5.92000, 6.08100, 6.20000, 6.19700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067836, 13, 53,  43.1100, -53,  22, 23.8000,  B5III    , 5.87000, 5.84000, 5.76800, 5.79800, 5.80500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067847, 13, 53,  50.3600, -55,  33, 18.2000,  B8II     , 8.58000, 8.30000, 8.23500, 8.21300, 8.21700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067969, 13, 55,  10.0500, -68,  52, 55.3000,  B3V      , 8.24000, 8.26000, 8.18700, 8.29600, 8.27200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip067973, 13, 55,  12.1700, -52,   9, 38.8000,  B9V      , 5.66000, 5.71000, 5.80500, 5.89300, 5.85200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip068124, 13, 56,  47.9900, -46,  23, 9.60000,  B2/B3IV  , 6.95000, 7.07000, 7.22000, 7.31100, 7.35200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip068136, 13, 56,  59.3200, -23,   6, 12.8000,  B9.5V    , 7.60000, 7.61000, 7.58600, 7.60500, 7.60000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip068269, 13, 58,  31.1800, -24,  58, 19.8000,  B8V      , 5.20000, 5.27000, -99.999, -99.999, -99.999, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip068325, 13, 59,  10.4800, -50,  57, 21.9000,  B9V      , 8.98000, 8.91000, 8.70100, 8.72700, 8.67200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip068876, 14,  6,  12.2500, -56,  47, 19.9000,  B7III    , 8.76000, 8.69000, 8.06000, 8.09900, 8.08900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip068970, 14,  7,  13.8700, -16,  11, 25.6000,  B9IV/V   , 7.28000, 7.27000, 7.19100, 7.24900, 7.23300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip069011, 14,  7,  40.8400, -48,  42, 14.3000,  B9V      , 6.43000, 6.41000, 6.42800, 6.47000, 6.43400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip069648, 14, 15,  16.2800, -58,  46, 49.3000,  B3V      , 8.31000, 7.97000, 7.96000, 7.93200, 7.93600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip070040, 14, 19,  54.6200, -57,   9, 27.2000,  B8/B9V   , 8.09000, 7.92000, 7.54400, 7.51500, 7.43800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip070323, 14, 23,  19.9800, -66,  37, 52.3000,  B9V      , 8.88000, 8.78000, 8.60500, 8.63000, 8.55200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip070455, 14, 24,  43.9300, -40,  45, 18.4000,  B8V      , 6.97000, 7.00000, 7.03100, 7.07300, 7.07800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip070626, 14, 26,  49.8900, -39,  52, 26.2000,  B7IV     , 6.36000, 6.43000, 6.52800, 6.60300, 6.59200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip071327, 14, 35,  10.7200, -46,  27, 43.0000,  B9V      , 6.89000, 6.88000, 6.80100, 6.81600, 6.82500, -99.9990, -99.9990,  -99.9990, -99.9990 *iC Star_in_Cluster
Hip071451, 14, 36,  43.0200, -11,  38, 36.0000,  B9       , 8.45000, 8.41000, 8.34600, 8.40200, 8.42800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip071453, 14, 36,  44.1500, -40,  12, 41.5000,  B8V      , 5.74000, 5.84000, 5.95900, 6.05200, 6.01500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip071538, 14, 37,  54.9000, -48,   1, 24.7000,  B8V      , 6.65000, 6.65000, 6.60300, 6.67700, 6.63400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip071615, 14, 38,  48.0900,   7,  54, 41.1000,  B9       , 8.73000, 8.75000, -99.999, -99.999, -99.999, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072154, 14, 45,  30.2300,   0,  43, 2.20000,  B9.5V    , 5.68000, 5.67000, 5.61900, 5.61900, 5.60200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072323, 14, 47,  22.5600, -25,  37, 27.2000,  B9IV/V   , 5.61000, 5.63000, 5.59800, 5.69200, 5.63400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072378, 14, 47,  57.5600, -26,  38, 46.1000,  B9V      , 5.76000, 5.75000, 5.66300, 5.69000, 5.63800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072505, 14, 49,  28.7400,  19,  30, 37.4000,  B9V      , 6.91000, 6.85000, 6.77000, 6.78500, 6.78100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072518, 14, 49,  37.0600, -68,  56, 10.2000,  B2V      , 6.50000, 6.58000, 6.64400, 6.72700, 6.76200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072550, 14, 49,  56.2800,  24,  43, 13.7000,  B9       , 6.77000, 6.73000, 6.70700, 6.70400, 6.71500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072690, 14, 51,  44.2700, -60,  29, 54.3000,  B3II/III , 8.94000, 8.38000, 7.60900, 7.48800, 7.38700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072713, 14, 51,  58.5400, -60,  20, 4.90000,  B9V      , 7.89000, 7.78000, 7.51200, 7.53100, 7.47700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip072983, 14, 54,  54.0500, -69,  51, 39.3000,  B5V      , 6.38000, 6.42000, 6.39400, 6.42100, 6.42300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip073171, 14, 57,  13.7200, -29,   9, 27.4000,  B9V      , 6.28000, 6.27000, 6.23600, 6.29100, 6.26400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip073341, 14, 59,  13.9400, -37,  52, 52.3000,  B8V      , 6.45000, 6.51000, 6.59800, 6.68900, 6.66600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip073500, 15,  1,  22.6200, -71,  29, 26.7000,  B5V      , 6.72000, 6.78000, 6.77500, 6.80900, 6.82800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip073638, 15,  3,  8.09000, -12,  51, 27.4000,  B9.5IV/V , 7.69000, 7.62000, 7.55800, 7.60100, 7.57500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip073865, 15,  5,  47.7300, -25,  47, 22.0000,  B7V      , 6.65000, 6.65000, 6.58300, 6.62500, 6.62300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074100, 15,  8,  39.2100, -42,  52, 4.30000,  B7V      , 5.85000, 6.01000, 6.00800, 6.05500, 6.09700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074220, 15, 10,  0.62000, -41,  10, 45.8000,  B9V      , 7.50000, 7.53000, 7.52100, 7.59800, 7.57100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074546, 15, 13,  56.3000, -54,  37, 48.9000,  B8V      , 8.59000, 8.54000, 8.44900, 8.49700, 8.42700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074600, 15, 14,  33.7700, -17,  46, 6.70000,  B9III    , 6.18000, 6.17000, 6.09900, 6.08900, 6.11100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074680, 15, 15,  45.2600, -14,  41, 34.2000,  B3V      , 8.16000, 8.21000, 8.25800, 8.32200, 8.37100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074716, 15, 16,  10.4700, -43,  29, 5.90000,  B3IV     , 6.05000, 6.17000, 6.27000, 6.37300, 6.39300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074751, 15, 16,  37.0500, -68,  18, 12.1000,  B9.5V    , 8.95000, 8.90000, 8.78800, 8.78300, 8.79800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074752, 15, 16,  37.1700, -42,  22, 12.3000,  B9V      , 6.76000, 6.77000, 6.78200, 6.81500, 6.83400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip074801, 15, 17,  13.8900, -66,   5, 32.2000,  B6V      , 6.84000, 6.83000, 6.75400, 6.80300, 6.80600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip075210, 15, 22,  11.2700, -37,  38, 8.00000,  B8/B9V   , 6.65000, 6.69000, 6.74600, 6.83100, 6.75600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip075959, 15, 30,  49.1900, -71,  39, 14.7000,  B3V      , 6.39000, 6.49000, 6.55700, 6.63800, 6.67100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076048, 15, 31,  50.2400, -32,  52, 51.8000,  B7V      , 6.49000, 6.42000, 6.25300, 6.28600, 6.24700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076069, 15, 32,  9.68000,  16,   3, 22.1000,  B9V      , 6.22000, 6.24000, 6.18300, 6.23100, 6.21900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076071, 15, 32,  10.3400, -21,  58, 0.40000,  B9V      , 7.24000, 7.19000, 7.10700, 7.07400, 6.99200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076223, 15, 34,  14.5100, -60,  48, 28.2000,  B9/B9.5V , 7.18000, 7.11000, -99.999, -99.999, -99.999, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076234, 15, 34,  20.8700, -39,  20, 56.8000,  B9V      , 6.36000, 6.35000, 6.39200, 6.47500, 6.38700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076442, 15, 36,  44.0200, -41,   3, 37.5000,  B9V      , 7.61000, 7.61000, 7.65500, 7.69800, 7.68400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip076473, 15, 37,  6.89000, -26,  29, 32.5000,  B7V      , 7.39000, 7.29000, 7.11300, 7.11800, 7.10500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
